insider_name,title,company,ticker,transaction_type,shares,price,date
Robert Johnson,Director,NVDA,NVDA,Sale,15289,230.62,2022-11-02
Robert Johnson,Director,NVDA,NVDA,Purchase,15132,388.04,2022-12-15
Robert Johnson,Director,NVDA,NVDA,Sale,3101,135.93,2022-12-22
Robert Johnson,Director,NVDA,NVDA,Sale,29244,446.3,2023-05-05
Robert Johnson,Director,NVDA,NVDA,Sale,46722,217.98,2023-06-16
Robert Johnson,Director,NVDA,NVDA,Purchase,3556,325.48,2023-08-08
Robert Johnson,Director,NVDA,NVDA,Purchase,19173,258.78,2023-10-27
Robert Johnson,Director,NVDA,NVDA,Sale,49318,91.11,2023-12-28
Robert Johnson,Director,NVDA,NVDA,Sale,36706,255.23,2024-01-24
Robert Johnson,Director,NVDA,NVDA,Sale,10826,125.59,2024-04-12
Robert Johnson,Director,NVDA,NVDA,Sale,47045,411.99,2024-06-14
Robert Johnson,Director,NVDA,NVDA,Sale,8079,107.08,2024-07-05
Robert Johnson,Director,NVDA,NVDA,Purchase,19955,406.67,2024-08-20
Robert Johnson,Director,NVDA,NVDA,Purchase,35343,494.29,2024-09-10
Robert Johnson,Director,NVDA,NVDA,Sale,15647,154.04,2024-10-16
Robert Johnson,Director,NVDA,NVDA,Sale,790,288.96,2024-12-06
Mary Williams,EVP,JPM,JPM,Sale,46488,188.6,2022-04-29
Mary Williams,EVP,JPM,JPM,Sale,10424,118.4,2022-06-03
Mary Williams,EVP,JPM,JPM,Sale,7371,81.2,2022-06-21
Mary Williams,EVP,JPM,JPM,Purchase,24476,229.06,2022-06-24
Mary Williams,EVP,JPM,JPM,Sale,19264,383.33,2022-12-15
Mary Williams,EVP,JPM,JPM,Sale,22783,72.45,2023-02-03
Mary Williams,EVP,JPM,JPM,Purchase,35820,484.88,2023-03-08
Mary Williams,EVP,JPM,JPM,Sale,21903,496.44,2023-04-13
Mary Williams,EVP,JPM,JPM,Sale,11513,265.45,2023-05-16
Mary Williams,EVP,JPM,JPM,Purchase,47902,143.25,2023-07-11
Mary Williams,EVP,JPM,JPM,Sale,32989,390.85,2024-01-04
Mary Williams,EVP,JPM,JPM,Sale,19343,85.9,2024-01-11
Mary Williams,EVP,JPM,JPM,Sale,4973,457.05,2024-04-22
David Brown,COO,META,META,Sale,49660,432.0,2022-04-06
David Brown,COO,META,META,Purchase,1984,116.88,2022-05-25
David Brown,COO,META,META,Sale,27539,322.38,2022-06-09
David Brown,COO,META,META,Purchase,12010,370.61,2022-07-01
David Brown,COO,META,META,Sale,22641,299.76,2022-08-30
David Brown,COO,META,META,Purchase,25703,59.87,2022-10-07
David Brown,COO,META,META,Sale,33702,400.04,2022-11-29
David Brown,COO,META,META,Sale,44520,262.37,2022-12-01
David Brown,COO,META,META,Sale,19521,61.8,2022-12-15
David Brown,COO,META,META,Sale,34735,151.11,2023-01-18
David Brown,COO,META,META,Sale,4826,213.52,2023-02-06
David Brown,COO,META,META,Sale,37586,487.32,2023-02-27
David Brown,COO,META,META,Sale,31923,433.85,2023-06-23
David Brown,COO,META,META,Sale,41472,379.21,2023-12-01
David Brown,COO,META,META,Sale,18107,308.7,2024-01-24
David Brown,COO,META,META,Sale,49153,426.77,2024-02-15
David Brown,COO,META,META,Sale,48222,318.33,2024-04-11
David Brown,COO,META,META,Sale,6680,334.23,2024-04-12
David Brown,COO,META,META,Sale,16658,441.51,2024-05-09
David Brown,COO,META,META,Sale,30300,75.82,2024-06-14
David Brown,COO,META,META,Sale,48909,424.99,2024-07-22
David Brown,COO,META,META,Sale,26867,248.99,2024-09-04
David Brown,COO,META,META,Sale,3025,113.6,2024-11-26
David Brown,COO,META,META,Purchase,49834,331.38,2024-11-29
Sarah Davis,CTO,GOOGL,GOOGL,Purchase,28929,273.64,2022-02-04
Sarah Davis,CTO,GOOGL,GOOGL,Purchase,25244,382.21,2022-02-28
Sarah Davis,CTO,GOOGL,GOOGL,Purchase,3474,337.71,2022-06-08
Sarah Davis,CTO,GOOGL,GOOGL,Purchase,46636,466.38,2023-03-07
Sarah Davis,CTO,GOOGL,GOOGL,Sale,41178,223.03,2023-03-20
Sarah Davis,CTO,GOOGL,GOOGL,Sale,13382,375.62,2023-06-30
Sarah Davis,CTO,GOOGL,GOOGL,Sale,2725,480.28,2023-07-10
Sarah Davis,CTO,GOOGL,GOOGL,Purchase,46101,460.64,2023-07-25
Sarah Davis,CTO,GOOGL,GOOGL,Purchase,30642,166.71,2024-01-31
Sarah Davis,CTO,GOOGL,GOOGL,Purchase,47866,239.7,2024-03-29
Michael Chen,VP,AMZN,AMZN,Sale,11396,230.86,2022-02-02
Michael Chen,VP,AMZN,AMZN,Sale,37034,109.44,2022-05-17
Michael Chen,VP,AMZN,AMZN,Sale,42847,425.59,2022-07-15
Michael Chen,VP,AMZN,AMZN,Sale,21246,363.54,2022-09-06
Michael Chen,VP,AMZN,AMZN,Sale,38560,246.43,2023-04-24
Michael Chen,VP,AMZN,AMZN,Sale,18902,277.94,2023-10-10
Michael Chen,VP,AMZN,AMZN,Sale,35947,455.24,2023-10-26
Michael Chen,VP,AMZN,AMZN,Sale,3212,159.83,2023-11-24
Michael Chen,VP,AMZN,AMZN,Purchase,3701,78.88,2024-01-30
Michael Chen,VP,AMZN,AMZN,Purchase,28806,278.4,2024-03-22
Michael Chen,VP,AMZN,AMZN,Sale,21566,469.73,2024-05-17
Michael Chen,VP,AMZN,AMZN,Purchase,10118,119.15,2024-06-12
Michael Chen,VP,AMZN,AMZN,Purchase,40571,445.45,2024-09-12
Michael Chen,VP,AMZN,AMZN,Purchase,46511,376.98,2024-10-15
Michael Chen,VP,AMZN,AMZN,Purchase,48148,84.21,2024-12-25
