politician,chamber,ticker,transaction_type,amount_range,trade_date,disclosure_date
Rep. Sam Bradley,House,GOOGL,Purchase,"$50,001 - $100,000",2022-11-21,2022-12-23
Rep. Sam Bradley,House,GOOGL,Sale,"$100,001 - $250,000",2022-12-30,2023-02-27
Rep. Sam Bradley,House,META,Sale,"$100,001 - $250,000",2023-03-15,2023-05-09
Rep. Sam Bradley,House,NVDA,Purchase,"$100,001 - $250,000",2023-05-04,2023-06-07
Rep. Sam Bradley,House,JPM,Sale,"$1,001 - $15,000",2023-05-19,2023-07-16
Rep. Sam Bradley,House,SPY,Purchase,"$50,001 - $100,000",2023-07-14,2023-08-27
Rep. Sam Bradley,House,GOOGL,Purchase,"$1,001 - $15,000",2023-07-21,2023-09-02
Rep. Sam Bradley,House,SPY,Purchase,"$50,001 - $100,000",2023-07-25,2023-09-27
Rep. Sam Bradley,House,AMZN,Sale,"$100,001 - $250,000",2023-10-11,2023-12-09
Rep. Sam Bradley,House,SPY,Sale,"$15,001 - $50,000",2023-10-24,2023-12-02
Rep. Sam Bradley,House,GOOGL,Sale,"$1,001 - $15,000",2023-11-15,2023-12-26
Rep. Sam Bradley,House,NVDA,Sale,"$15,001 - $50,000",2023-11-20,2024-01-12
Rep. Sam Bradley,House,JPM,Sale,"$100,001 - $250,000",2023-11-29,2024-01-16
Rep. Sam Bradley,House,SPY,Sale,"$15,001 - $50,000",2023-12-20,2024-02-05
Rep. Sam Bradley,House,AMZN,Sale,"$50,001 - $100,000",2024-02-23,2024-04-08
Rep. Sam Bradley,House,SPY,Purchase,"$15,001 - $50,000",2024-02-28,2024-04-26
Rep. Sam Bradley,House,MSFT,Sale,"$100,001 - $250,000",2024-03-25,2024-05-17
Rep. Sam Bradley,House,META,Sale,"$1,001 - $15,000",2024-06-05,2024-07-09
Rep. Sam Bradley,House,JPM,Purchase,"$15,001 - $50,000",2024-08-02,2024-09-06
