date,ticker,open,high,low,close,volume
2022-05-17,SPY,487.88,489.0,485.93,488.79,5881769
2022-05-18,SPY,489.29,489.29,485.83,486.85,1829954
2022-05-19,SPY,488.39,488.39,485.7,486.26,8348269
2022-05-20,SPY,487.56,487.56,480.15,480.66,4869468
2022-05-23,SPY,482.91,482.91,481.74,482.28,2375377
2022-05-24,SPY,481.3,482.94,481.03,482.69,2228654
2022-05-25,SPY,481.73,484.16,481.73,484.12,12681666
2022-05-26,SPY,483.78,483.78,475.54,476.24,3655613
2022-05-27,SPY,476.64,485.47,476.64,483.76,9050858
2022-05-30,SPY,483.37,483.37,481.85,482.81,10679031
2022-05-31,SPY,485.82,488.84,485.82,487.06,14445683
2022-06-01,SPY,486.99,492.94,486.99,492.79,7934719
2022-06-02,SPY,491.78,493.5,491.59,492.27,6066928
2022-06-03,SPY,492.7,495.88,492.7,494.83,7665053
2022-06-06,SPY,495.94,495.94,493.35,493.84,1464841
2022-06-07,SPY,495.46,495.8,490.31,492.66,11269042
2022-06-08,SPY,489.16,497.48,489.16,496.34,7775296
2022-06-09,SPY,496.89,506.8,496.89,506.1,14397223
2022-06-10,SPY,506.0,506.0,499.77,499.93,10286925
2022-06-13,SPY,501.01,502.53,500.36,501.46,3531336
2022-06-14,SPY,503.07,509.72,503.07,508.15,9938744
2022-06-15,SPY,508.31,514.73,508.31,514.01,2553140
2022-06-16,SPY,512.84,517.8,512.84,515.22,4039226
2022-06-17,SPY,514.56,519.83,514.56,517.24,13653002
2022-06-20,SPY,515.15,526.15,515.15,522.14,12688402
2022-06-21,SPY,521.95,523.64,521.95,523.34,12732031
2022-06-22,SPY,524.17,526.04,523.16,524.34,14005216
2022-06-23,SPY,524.24,527.34,523.41,526.84,12744943
2022-06-24,SPY,525.26,526.97,523.96,525.7,8952299
2022-06-27,SPY,526.12,526.12,523.58,523.7,7732845
2022-06-28,SPY,524.63,525.35,522.56,524.07,4257921
2022-06-29,SPY,522.25,522.4,521.17,521.49,859935
2022-06-30,SPY,521.73,521.8,519.86,521.36,10845483
2022-07-01,SPY,521.82,529.2,521.82,527.09,14736186
2022-07-04,SPY,525.73,525.73,516.6,517.09,1575579
2022-07-05,SPY,517.38,527.48,517.38,525.5,2154509
2022-07-06,SPY,527.8,534.52,527.8,532.44,14570136
2022-07-07,SPY,531.89,533.59,528.61,530.79,11374761
2022-07-08,SPY,528.53,530.11,528.33,528.74,4007717
2022-07-11,SPY,527.93,528.6,525.4,526.45,6467852
2022-07-12,SPY,524.32,530.18,524.32,528.89,14320719
2022-07-13,SPY,529.46,529.46,522.28,524.67,1206127
2022-07-14,SPY,524.98,524.98,520.25,521.44,13663352
2022-07-15,SPY,521.78,528.4,521.78,527.65,3900759
2022-07-18,SPY,527.13,527.13,524.3,525.2,9353885
2022-07-19,SPY,528.41,528.41,518.3,520.98,10238385
2022-07-20,SPY,520.62,522.67,518.93,519.45,8470145
2022-07-21,SPY,517.59,517.59,514.11,514.98,13355084
2022-07-22,SPY,514.56,521.42,514.56,518.01,8245442
2022-07-25,SPY,517.53,523.6,517.53,520.72,2483908
2022-07-26,SPY,519.34,528.87,519.34,528.57,5587591
2022-07-27,SPY,530.11,531.56,529.78,530.08,3428696
2022-07-28,SPY,528.93,531.73,528.84,528.87,14717397
2022-07-29,SPY,529.48,531.57,525.95,528.68,4625842
2022-08-01,SPY,529.03,530.95,525.31,526.63,862651
2022-08-02,SPY,529.64,529.64,520.66,521.24,4841057
2022-08-03,SPY,522.26,523.8,522.26,523.15,12984022
2022-08-04,SPY,522.55,529.43,522.55,528.54,7405730
2022-08-05,SPY,528.0,534.6,528.0,532.05,11803437
2022-08-08,SPY,530.99,532.78,527.33,531.16,7934614
2022-08-09,SPY,529.99,531.91,526.37,527.99,4325760
2022-08-10,SPY,527.92,533.27,527.92,532.85,7983273
2022-08-11,SPY,533.57,539.16,533.57,537.49,7612425
2022-08-12,SPY,536.15,540.46,536.15,540.43,6214823
2022-08-15,SPY,538.4,540.91,538.4,540.54,6446951
2022-08-16,SPY,542.0,542.0,539.02,539.19,6754241
2022-08-17,SPY,541.08,541.08,527.95,529.51,11287190
2022-08-18,SPY,530.08,534.86,530.08,532.92,5295668
2022-08-19,SPY,533.27,534.26,533.01,533.33,1802401
2022-08-22,SPY,530.45,538.19,530.45,536.81,634266
2022-08-23,SPY,534.41,543.33,534.41,541.27,7662782
2022-08-24,SPY,540.79,548.6,540.79,545.46,568750
2022-08-25,SPY,544.13,544.13,541.21,541.73,14539790
2022-08-26,SPY,542.84,551.63,542.84,549.63,9249654
2022-08-29,SPY,550.47,553.39,550.39,552.6,9717814
2022-08-30,SPY,552.72,556.19,552.41,555.59,5105716
2022-08-31,SPY,557.89,557.89,550.3,553.28,12476279
2022-09-01,SPY,553.55,556.97,553.55,554.58,5098720
2022-09-02,SPY,552.84,552.84,549.78,549.89,4342328
2022-09-05,SPY,549.91,552.87,548.13,549.71,558110
2022-09-06,SPY,548.28,551.04,548.28,550.96,3144119
2022-09-07,SPY,551.48,551.48,546.94,547.84,4461214
2022-09-08,SPY,549.23,549.23,538.45,540.17,12787178
2022-09-09,SPY,540.62,541.97,538.63,540.51,13171383
2022-09-12,SPY,540.33,544.54,540.33,542.31,10905401
2022-09-13,SPY,541.56,541.56,540.74,541.09,14759547
2022-09-14,SPY,541.49,543.22,541.25,542.34,10032471
2022-09-15,SPY,541.72,544.04,541.58,543.56,6227604
2022-09-16,SPY,541.14,552.02,541.14,549.98,9844303
2022-09-19,SPY,546.45,550.49,546.45,550.28,13236303
2022-09-20,SPY,549.78,554.95,549.78,552.19,10642606
2022-09-21,SPY,554.62,554.62,545.9,548.4,13050801
2022-09-22,SPY,550.71,550.71,547.03,547.09,14003393
2022-09-23,SPY,548.21,548.47,542.26,547.83,13369780
2022-09-26,SPY,547.19,547.19,544.27,544.9,1481395
2022-09-27,SPY,545.34,545.68,545.17,545.2,3352761
2022-09-28,SPY,543.91,550.6,543.91,547.21,3373859
2022-09-29,SPY,548.3,548.3,545.91,547.12,1934405
2022-09-30,SPY,547.06,547.06,540.4,541.41,2355540
2022-10-03,SPY,538.95,538.95,537.1,537.21,1155010
2022-10-04,SPY,537.07,537.07,528.58,528.95,4873584
2022-10-05,SPY,527.46,531.67,527.46,530.06,13212306
2022-10-06,SPY,529.52,529.52,523.49,525.59,6664841
2022-10-07,SPY,525.07,525.07,517.65,518.58,1906179
2022-10-10,SPY,517.74,519.41,517.15,518.9,8098409
2022-10-11,SPY,519.02,523.6,519.02,521.04,11159376
2022-10-12,SPY,523.62,523.62,519.54,520.58,3877181
2022-10-13,SPY,519.64,519.64,513.64,515.42,13493770
2022-10-14,SPY,516.64,518.13,516.18,517.21,2444325
2022-10-17,SPY,514.88,524.2,514.88,523.31,12844352
2022-10-18,SPY,522.59,523.58,521.94,522.13,5261860
2022-10-19,SPY,521.84,530.44,521.84,530.15,8006092
2022-10-20,SPY,531.64,531.64,529.87,530.63,12597354
2022-10-21,SPY,530.52,533.11,530.15,532.11,14321480
2022-10-24,SPY,533.24,537.76,533.24,536.27,13773654
2022-10-25,SPY,536.7,542.08,536.7,541.58,9317873
2022-10-26,SPY,539.34,539.34,522.87,529.05,12668565
2022-10-27,SPY,530.79,533.2,530.01,531.22,2716718
2022-10-28,SPY,531.75,533.13,529.32,529.33,12496285
2022-10-31,SPY,529.28,531.74,529.28,530.04,3573341
2022-11-01,SPY,531.22,531.22,523.17,524.41,12069250
2022-11-02,SPY,525.19,525.19,523.01,523.38,2370935
2022-11-03,SPY,522.87,522.87,517.52,519.36,10044377
2022-11-04,SPY,519.64,522.13,518.8,521.35,9195582
2022-11-07,SPY,519.6,525.21,519.6,524.58,4700117
2022-11-08,SPY,526.44,526.44,522.01,523.47,13441071
2022-11-09,SPY,523.91,533.37,523.91,531.14,2667976
2022-11-10,SPY,531.06,532.03,530.41,531.81,10936846
2022-11-11,SPY,531.82,531.82,527.8,528.87,12494889
2022-11-14,SPY,529.35,532.5,529.35,531.86,1829993
2022-11-15,SPY,529.75,529.75,525.92,526.77,11393069
2022-11-16,SPY,526.34,526.34,522.17,522.62,4076865
2022-11-17,SPY,523.14,525.94,523.14,525.37,14428410
2022-11-18,SPY,525.42,525.42,513.06,516.67,8360146
2022-11-21,SPY,516.92,518.53,514.84,516.81,6885458
2022-11-22,SPY,518.03,519.84,518.03,518.97,10438701
2022-11-23,SPY,517.78,518.14,515.69,516.81,12920893
2022-11-24,SPY,515.74,520.02,515.74,519.85,8395951
2022-11-25,SPY,520.4,520.4,516.19,517.77,803099
2022-11-28,SPY,516.06,517.26,513.03,517.08,11302377
2022-11-29,SPY,517.23,523.57,517.23,523.32,7195767
2022-11-30,SPY,524.75,525.27,522.07,522.84,8996439
2022-12-01,SPY,523.41,523.41,518.51,520.3,2447385
2022-12-02,SPY,520.01,520.46,518.28,520.13,12668021
2022-12-05,SPY,521.78,521.78,513.29,513.66,6315685
2022-12-06,SPY,513.47,513.75,511.01,511.4,9485193
2022-12-07,SPY,510.9,513.43,510.9,513.33,7062578
2022-12-08,SPY,512.59,512.59,506.69,507.14,2121749
2022-12-09,SPY,506.34,508.62,506.34,507.33,844630
2022-12-12,SPY,508.52,509.77,506.41,507.21,14991617
2022-12-13,SPY,507.94,514.25,507.94,512.4,5846683
2022-12-14,SPY,511.42,511.42,505.85,508.06,10247834
2022-12-15,SPY,507.73,514.89,507.73,513.51,2927168
2022-12-16,SPY,514.9,514.9,512.54,512.67,7623232
2022-12-19,SPY,513.23,513.23,509.73,511.35,3787092
2022-12-20,SPY,511.01,511.01,508.13,508.43,507521
2022-12-21,SPY,505.87,515.95,505.87,515.79,4391992
2022-12-22,SPY,515.59,515.99,512.58,514.86,12435306
2022-12-23,SPY,514.75,520.42,514.75,520.32,8312476
2022-12-26,SPY,519.64,531.55,519.64,527.63,11378856
2022-12-27,SPY,527.14,529.02,527.05,527.85,2853120
2022-12-28,SPY,528.2,532.67,528.2,532.36,3042524
2022-12-29,SPY,532.36,532.36,529.94,530.13,14318147
2022-12-30,SPY,529.67,529.67,517.92,519.89,14646136
2023-01-02,SPY,518.82,521.49,517.35,518.99,6067347
2023-01-03,SPY,517.56,527.32,517.56,526.63,12513930
2023-01-04,SPY,526.52,526.52,517.09,518.74,2005323
2023-01-05,SPY,519.26,519.26,515.13,515.74,12485866
2023-01-06,SPY,516.52,516.52,509.14,510.44,5753693
2023-01-09,SPY,511.2,511.2,504.39,504.98,515478
2023-01-10,SPY,504.67,507.03,502.93,504.56,7382633
2023-01-11,SPY,503.44,515.73,503.44,512.52,1362557
2023-01-12,SPY,511.92,520.51,511.92,518.76,8060909
2023-01-13,SPY,517.87,519.57,517.37,518.49,3054005
2023-01-16,SPY,519.59,519.59,514.51,515.0,6571031
2023-01-17,SPY,513.29,515.56,510.02,514.38,3478159
2023-01-18,SPY,516.02,516.02,505.15,507.09,14458045
2023-01-19,SPY,505.99,513.15,505.99,512.48,11436936
2023-01-20,SPY,513.16,515.98,513.16,514.78,13778536
2023-01-23,SPY,514.88,514.88,510.73,512.67,12189768
2023-01-24,SPY,513.37,515.47,513.37,514.16,3644450
2023-01-25,SPY,516.24,522.83,516.24,520.7,3301520
2023-01-26,SPY,520.19,520.38,518.53,518.65,12129853
2023-01-27,SPY,520.53,520.67,516.49,518.09,14025304
2023-01-30,SPY,517.31,517.31,513.75,514.94,14568417
2023-01-31,SPY,516.18,517.8,514.14,514.94,5513096
2023-02-01,SPY,514.88,516.81,514.76,515.49,8220268
2023-02-02,SPY,516.23,516.23,511.13,512.2,4232624
2023-02-03,SPY,512.66,521.06,512.66,518.65,13859176
2023-02-06,SPY,519.1,519.9,516.21,518.9,8895174
2023-02-07,SPY,516.4,520.13,514.56,518.15,3444674
2023-02-08,SPY,518.13,518.98,516.36,518.56,7253482
2023-02-09,SPY,518.01,528.42,518.01,527.03,6803613
2023-02-10,SPY,525.04,525.04,516.81,518.21,11736164
2023-02-13,SPY,518.28,518.28,514.03,515.62,8904346
2023-02-14,SPY,515.31,515.31,504.06,505.27,5929727
2023-02-15,SPY,501.91,501.91,493.44,495.4,2352798
2023-02-16,SPY,495.88,495.88,489.81,490.87,6555479
2023-02-17,SPY,491.31,496.14,491.31,493.24,7843878
2023-02-20,SPY,493.21,499.3,493.21,498.08,7223297
2023-02-21,SPY,498.43,498.43,490.48,492.01,14006586
2023-02-22,SPY,490.74,492.83,488.71,491.67,3607732
2023-02-23,SPY,493.86,495.69,493.86,495.26,4054928
2023-02-24,SPY,494.31,502.34,494.31,498.02,1670661
2023-02-27,SPY,496.78,500.57,496.78,499.87,7438652
2023-02-28,SPY,499.74,502.5,499.74,501.33,14401259
2023-03-01,SPY,501.75,501.75,498.39,500.46,568666
2023-03-02,SPY,499.97,503.08,499.97,502.48,12603261
2023-03-03,SPY,500.39,502.22,500.14,501.61,4687334
2023-03-06,SPY,503.21,503.21,498.43,500.24,5004485
2023-03-07,SPY,501.23,506.92,501.23,505.37,9477105
2023-03-08,SPY,506.05,506.05,498.45,499.03,12711242
2023-03-09,SPY,500.5,500.5,497.53,499.89,11581234
2023-03-10,SPY,500.0,500.0,495.97,498.77,7502606
2023-03-13,SPY,497.67,505.66,497.67,503.9,3307665
2023-03-14,SPY,501.64,510.9,501.64,510.01,13994925
2023-03-15,SPY,510.71,518.76,510.71,517.76,13131324
2023-03-16,SPY,517.15,523.36,517.15,522.81,14669294
2023-03-17,SPY,523.63,523.63,520.12,520.54,10071300
2023-03-20,SPY,518.58,523.54,518.58,522.84,9576848
2023-03-21,SPY,525.63,530.58,525.63,528.27,6403779
2023-03-22,SPY,528.0,532.58,528.0,532.53,6848702
2023-03-23,SPY,531.37,536.75,531.37,534.35,2850361
2023-03-24,SPY,534.01,539.58,534.01,538.45,6804016
2023-03-27,SPY,538.76,538.76,531.81,534.61,956412
2023-03-28,SPY,536.05,537.93,530.76,532.89,7868797
2023-03-29,SPY,534.73,534.73,527.86,530.22,10935363
2023-03-30,SPY,529.83,535.56,529.03,531.61,9745330
2023-03-31,SPY,531.47,531.47,528.38,529.24,11340359
2023-04-03,SPY,529.36,535.81,529.36,535.61,11835477
2023-04-04,SPY,534.68,544.05,534.68,543.42,10721132
2023-04-05,SPY,541.75,547.31,541.75,545.59,5878228
2023-04-06,SPY,545.73,545.73,536.76,539.81,6109125
2023-04-07,SPY,539.6,543.82,539.59,539.92,3379463
2023-04-10,SPY,542.13,551.69,542.13,549.13,6229837
2023-04-11,SPY,550.16,551.97,550.16,551.77,4724277
2023-04-12,SPY,552.21,552.21,545.95,548.36,6141660
2023-04-13,SPY,546.95,546.95,544.74,545.82,4464730
2023-04-14,SPY,544.32,546.37,543.88,544.44,2080651
2023-04-17,SPY,546.17,546.17,538.38,539.46,12318559
2023-04-18,SPY,536.73,541.41,536.73,541.05,13693438
2023-04-19,SPY,541.76,550.09,541.76,549.86,11400820
2023-04-20,SPY,550.13,557.5,550.13,553.96,1356068
2023-04-21,SPY,552.28,560.51,552.28,559.94,13985048
2023-04-24,SPY,559.37,559.37,547.46,547.79,5702525
2023-04-25,SPY,548.6,553.51,548.6,553.21,7183505
2023-04-26,SPY,551.66,556.38,551.66,555.83,14847927
2023-04-27,SPY,554.59,554.59,548.75,551.73,2075527
2023-04-28,SPY,552.05,559.06,552.05,558.59,11360482
2023-05-01,SPY,557.51,565.28,557.51,564.85,4387234
2023-05-02,SPY,563.87,568.23,563.87,567.51,9626074
2023-05-03,SPY,566.52,568.52,564.89,566.03,14264756
2023-05-04,SPY,565.49,571.16,565.49,569.69,11656410
2023-05-05,SPY,568.82,568.82,564.43,566.14,2530803
2023-05-08,SPY,563.98,563.98,559.73,561.04,10643173
2023-05-09,SPY,559.08,560.83,559.08,560.22,4169003
2023-05-10,SPY,557.24,557.24,552.9,554.73,13302933
2023-05-11,SPY,553.79,560.45,553.79,560.18,1060342
2023-05-12,SPY,561.44,562.71,555.61,559.81,3005655
2023-05-15,SPY,559.58,560.41,555.42,557.94,3334689
2023-05-16,SPY,558.37,558.37,554.04,554.85,4025401
2023-05-17,SPY,556.36,563.94,556.36,562.02,13888531
2023-05-18,SPY,563.85,570.46,563.85,567.87,3950777
2023-05-19,SPY,568.26,569.33,568.23,568.93,4696730
2023-05-22,SPY,568.0,568.03,567.81,567.95,7944619
2023-05-23,SPY,566.91,584.67,566.91,581.36,6329693
2023-05-24,SPY,583.0,584.31,582.8,584.22,6194574
2023-05-25,SPY,584.75,594.11,584.75,589.69,13802236
2023-05-26,SPY,589.9,597.27,589.9,594.95,9236755
2023-05-29,SPY,596.34,598.55,593.11,596.48,2360252
2023-05-30,SPY,597.2,597.2,593.89,596.69,2838007
2023-05-31,SPY,596.77,596.77,591.83,594.67,11365616
2023-06-01,SPY,593.68,596.51,593.68,594.29,14434592
2023-06-02,SPY,593.95,601.55,593.95,600.52,13740729
2023-06-05,SPY,601.6,601.6,589.83,593.17,12305874
2023-06-06,SPY,595.73,606.8,595.73,604.67,13808969
2023-06-07,SPY,604.67,611.98,604.67,610.62,1911207
2023-06-08,SPY,610.81,610.81,604.28,607.39,4618744
2023-06-09,SPY,608.83,610.2,606.6,609.75,4765026
2023-06-12,SPY,608.25,608.25,603.48,606.4,10047971
2023-06-13,SPY,607.33,607.33,602.73,603.97,12364630
2023-06-14,SPY,603.19,605.62,603.19,605.35,13043953
2023-06-15,SPY,603.53,603.53,596.9,597.91,8440992
2023-06-16,SPY,598.21,600.39,592.55,595.87,8203744
2023-06-19,SPY,592.54,592.54,590.4,590.67,13956278
2023-06-20,SPY,592.12,600.71,592.12,599.84,8208387
2023-06-21,SPY,600.76,600.76,594.87,599.23,2363185
2023-06-22,SPY,598.47,598.47,593.44,594.56,2544895
2023-06-23,SPY,592.56,600.18,592.56,597.62,6016163
2023-06-26,SPY,596.27,609.18,596.27,606.99,1533915
2023-06-27,SPY,606.86,606.86,604.53,604.6,4959229
2023-06-28,SPY,605.93,606.53,602.75,603.75,9757779
2023-06-29,SPY,603.91,603.91,595.75,597.32,6617954
2023-06-30,SPY,598.28,605.54,598.28,604.56,2726207
2023-07-03,SPY,603.84,603.84,600.39,600.99,11413645
2023-07-04,SPY,600.18,600.18,596.19,597.45,3641024
2023-07-05,SPY,600.7,604.1,599.58,602.88,2749256
2023-07-06,SPY,601.97,605.67,601.9,603.4,9541422
2023-07-07,SPY,601.64,601.64,598.2,598.48,14943280
2023-07-10,SPY,598.58,599.61,593.41,594.27,3724334
2023-07-11,SPY,594.69,594.69,586.18,588.29,13981896
2023-07-12,SPY,589.43,591.57,586.7,589.45,7631282
2023-07-13,SPY,590.43,594.68,588.22,590.08,8582085
2023-07-14,SPY,591.52,598.53,591.52,595.49,7290647
2023-07-17,SPY,595.06,595.06,587.26,587.77,8311872
2023-07-18,SPY,586.98,587.03,586.14,586.42,11135263
2023-07-19,SPY,585.99,585.99,583.69,584.51,4966932
2023-07-20,SPY,584.51,588.72,584.23,585.12,6477749
2023-07-21,SPY,582.35,587.28,581.82,585.48,11020413
2023-07-24,SPY,586.42,586.42,584.76,585.63,4659939
2023-07-25,SPY,582.66,591.08,582.66,590.17,6328704
2023-07-26,SPY,591.12,597.35,591.12,596.12,14027535
2023-07-27,SPY,595.79,603.39,595.79,600.4,8936658
2023-07-28,SPY,601.23,603.0,600.06,600.85,12077500
2023-07-31,SPY,602.99,602.99,600.96,601.46,12212241
2023-08-01,SPY,599.3,599.3,597.13,598.81,5336473
2023-08-02,SPY,597.2,597.2,592.65,592.71,3064300
2023-08-03,SPY,592.29,597.25,592.29,596.03,806762
2023-08-04,SPY,595.79,600.32,595.79,599.41,822382
2023-08-07,SPY,597.85,604.17,597.85,601.48,12807485
2023-08-08,SPY,601.71,610.45,601.71,608.46,8448304
2023-08-09,SPY,609.73,612.67,609.73,611.94,3089760
2023-08-10,SPY,610.38,610.58,607.05,609.37,13132959
2023-08-11,SPY,607.0,616.66,607.0,613.11,7663922
2023-08-14,SPY,613.26,619.66,613.26,616.85,5218209
2023-08-15,SPY,614.54,620.46,614.54,618.36,6868088
2023-08-16,SPY,616.67,623.26,616.67,621.23,10575497
2023-08-17,SPY,621.9,621.9,617.01,620.09,4060707
2023-08-18,SPY,621.68,621.68,616.95,618.04,9324501
2023-08-21,SPY,618.09,618.81,615.29,617.59,13978807
2023-08-22,SPY,616.43,619.43,616.43,618.5,3275748
2023-08-23,SPY,613.97,627.22,613.97,621.41,8479690
2023-08-24,SPY,619.23,620.57,617.91,618.54,10778395
2023-08-25,SPY,618.46,627.64,618.46,623.81,1587750
2023-08-28,SPY,625.1,625.1,616.03,618.04,14564966
2023-08-29,SPY,619.96,619.96,608.04,609.73,3034707
2023-08-30,SPY,608.03,608.03,603.26,603.32,11886923
2023-08-31,SPY,601.55,602.08,599.45,599.64,4004644
2023-09-01,SPY,598.55,598.55,585.96,589.36,12935933
2023-09-04,SPY,589.7,589.7,585.32,585.43,5426171
2023-09-05,SPY,583.99,583.99,576.88,577.28,1011577
2023-09-06,SPY,577.51,577.51,570.83,571.9,6972647
2023-09-07,SPY,570.89,570.89,568.71,569.14,2424129
2023-09-08,SPY,570.23,570.56,569.61,570.4,1186901
2023-09-11,SPY,572.72,572.72,569.3,569.49,4938928
2023-09-12,SPY,571.65,576.64,571.65,573.17,5918911
2023-09-13,SPY,573.21,575.9,573.21,575.58,12779850
2023-09-14,SPY,574.52,574.52,571.77,572.14,8191397
2023-09-15,SPY,572.89,572.89,567.91,568.62,5207023
2023-09-18,SPY,569.03,573.34,569.03,573.18,822897
2023-09-19,SPY,572.56,573.91,568.87,572.93,5813599
2023-09-20,SPY,574.48,575.56,572.51,575.09,6951597
2023-09-21,SPY,575.96,576.88,572.65,574.83,545672
2023-09-22,SPY,577.03,584.41,577.03,583.18,7457078
2023-09-25,SPY,583.99,584.15,582.86,584.1,621533
